Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Brazil,2022,Parkinson's Disease,Respiratory,12.79,0.93,4.61,19-35,Female,247734,58.9,4.53,1.1,Medication,14514,No,57.77,2316,3.94,46603,0.52,74.45
India,2017,Malaria,Respiratory,0.21,2.64,3.9,36-60,Female,489885,90.74,1.46,8.59,Vaccination,9478,Yes,74.53,1753,7.33,64534,0.5,61.74
UK,2017,Hypertension,Respiratory,16.35,4.02,9.93,36-60,Male,639317,64.03,4.93,8.48,Surgery,40180,Yes,55.47,1419,4.66,43144,0.88,22.51
South Korea,2021,Parkinson's Disease,Respiratory,14.82,3.3,9.85,0-18,Female,727694,92.2,1.79,3.43,Medication,24682,Yes,72.8,1512,2.63,91569,0.85,88.53
Argentina,2019,Parkinson's Disease,Respiratory,19.57,2.58,3.85,36-60,Male,722969,64.4,3.09,7.59,Vaccination,47873,No,66.59,144,1.03,26669,0.51,61.46
South Africa,2020,Tuberculosis,Respiratory,11.46,1.71,1.68,61+,Other,814529,90.98,1.14,7.94,Medication,40400,Yes,93.7,632,9.03,31354,0.68,84.27
Russia,2019,Alzheimer's Disease,Respiratory,14.75,1,3.75,0-18,Female,584183,85.37,0.7,2.27,Therapy,21925,Yes,98.49,3630,9.94,15826,0.72,69.76
Germany,2020,Alzheimer's Disease,Respiratory,17.38,14.67,9.6,0-18,Male,686954,91.45,0.75,3.46,Surgery,28845,No,96.79,1181,9.9,62009,0.41,45.61
India,2017,Alzheimer's Disease,Respiratory,9.12,12.78,2.5,19-35,Male,85833,52.13,4.69,8.77,Surgery,27934,No,73.49,2438,6.48,25194,0.53,64.24
Canada,2018,Leprosy,Respiratory,18.45,8.01,2.7,19-35,Female,822212,58.05,4.99,3.88,Surgery,27192,No,78.18,3011,4.83,70931,0.41,48.33
Italy,2023,Hepatitis,Respiratory,8.17,13.61,8.46,0-18,Male,757024,54.82,3.76,4.85,Surgery,18446,No,58.27,2265,0.07,58769,0.42,43.84
South Korea,2021,Ebola,Respiratory,2.44,13.01,5.24,36-60,Other,263734,68.86,2.21,6.19,Therapy,15139,No,60.31,2707,1.92,96372,0.48,49.33
Saudi Arabia,2017,Measles,Respiratory,3.49,5.1,7.29,19-35,Other,10751,84.01,2.49,1.67,Surgery,6189,No,82.86,3622,4.66,63711,0.68,80.09
Nigeria,2018,Measles,Respiratory,6.68,11.16,3.73,61+,Male,818354,85.96,4.69,5.66,Surgery,7665,Yes,79.07,3560,8.76,25888,0.6,33.63
Russia,2018,Influenza,Respiratory,19.68,3.27,8.5,36-60,Other,442661,86.39,2.7,5.98,Vaccination,37446,Yes,85.1,2045,7.14,82364,0.85,39.42
Mexico,2021,Alzheimer's Disease,Respiratory,7.9,2.46,1.49,36-60,Male,444488,72.5,3.71,0.98,Surgery,2131,Yes,54.9,4978,9.5,99237,0.55,32.17
Canada,2021,Leprosy,Respiratory,13.92,11.2,5.27,19-35,Female,343034,83.75,2.27,1.85,Vaccination,20732,No,93.98,590,0.79,42759,0.47,36.69
Indonesia,2023,Zika,Respiratory,10.22,7.6,1.52,61+,Male,514859,84.97,2.1,9.09,Surgery,44868,No,68.01,2784,9.54,36927,0.63,88.59
China,2019,Cancer,Respiratory,8.17,6.95,9.87,0-18,Male,345133,69.94,2.61,6.42,Vaccination,49844,Yes,55.51,670,8.72,62149,0.69,41.26
Italy,2022,Hepatitis,Respiratory,1.6,2.75,3.08,19-35,Male,207657,78.87,4.04,3.99,Surgery,37694,Yes,86.87,3400,5.12,79252,0.82,69.81
Saudi Arabia,2021,Parkinson's Disease,Respiratory,12.12,6.51,2.95,61+,Male,103708,61.94,1.81,1.06,Vaccination,39217,No,85.63,1289,1.57,20295,0.79,46.74
Italy,2020,Hepatitis,Respiratory,7.38,4.06,8.83,19-35,Male,94664,74.73,2.76,2.09,Therapy,13731,Yes,76.54,1159,4.33,5598,0.64,79.19
India,2023,Ebola,Respiratory,12.16,14.33,9.19,36-60,Male,787667,63.12,3.45,9.79,Vaccination,12120,No,69.81,1240,9.52,87545,0.44,35.73
China,2021,Parkinson's Disease,Respiratory,11.93,8.42,6.72,19-35,Other,222226,53.22,4.17,8.67,Therapy,19447,No,61.28,4291,2.72,4282,0.82,60.75
Indonesia,2021,Ebola,Respiratory,14.98,12.54,1.91,36-60,Male,724765,82.9,0.92,7.82,Vaccination,45030,No,63.86,1159,4.56,11517,0.46,51.18
Argentina,2022,Malaria,Respiratory,8.31,13.61,4.92,0-18,Male,247957,50.22,1.72,7.94,Medication,24744,Yes,69.77,4192,2.17,68629,0.45,84.1
Italy,2023,Asthma,Respiratory,10.35,8.07,3.81,19-35,Other,50819,85.42,2.83,9.27,Medication,5230,Yes,62.42,3209,1.84,87020,0.79,82.48
China,2023,HIV/AIDS,Respiratory,4.45,14.32,4.04,36-60,Female,511053,68.56,3.67,7.46,Therapy,3807,Yes,89.23,3657,2.55,1439,0.86,86.11
Japan,2021,Cancer,Respiratory,1.3,2.33,2.23,36-60,Other,572792,92.86,1.81,7.77,Therapy,30964,Yes,73.84,4073,9.89,57339,0.78,78.91
Turkey,2021,Cancer,Respiratory,4.87,5.21,3.8,61+,Male,604555,80.68,0.81,2.15,Vaccination,48235,No,54.97,2556,7.65,4429,0.8,35.41
South Africa,2018,Cholera,Respiratory,15.99,6.44,2.27,19-35,Other,567322,54.84,2.7,0.89,Medication,18684,No,62.22,3624,6.47,14588,0.7,88.11
China,2018,COVID-19,Respiratory,0.3,4.5,3.18,61+,Other,326257,86.26,2.84,2.35,Medication,3375,No,70.84,4151,1.75,60042,0.89,85.03
Russia,2020,Dengue,Respiratory,9.93,10.81,7.64,19-35,Other,401686,99.96,2.48,6.97,Vaccination,38994,Yes,70.89,2008,4.64,18992,0.81,57.45
Russia,2022,Measles,Respiratory,16.48,1.09,1.29,0-18,Other,176469,80.45,2.72,4.12,Therapy,35172,No,85.62,937,9.43,4095,0.73,66.17
Russia,2022,Ebola,Respiratory,5.31,3.97,1.91,0-18,Other,391806,99.63,4.3,4.78,Vaccination,31385,Yes,95.02,3797,0.75,25040,0.58,80
Italy,2021,Hepatitis,Respiratory,12.33,10.49,0.97,61+,Male,352341,83.71,3.66,7.01,Surgery,10104,Yes,62.14,4043,1.83,23858,0.71,89.54
Brazil,2023,Polio,Respiratory,9.18,11.2,5.16,61+,Male,271991,70.05,2.27,8.75,Therapy,49737,Yes,55.53,829,4.03,1777,0.87,34.7
Indonesia,2023,Cholera,Respiratory,3,13.15,7.96,36-60,Female,650080,76.6,3.04,5.69,Vaccination,2043,Yes,53.02,658,2.77,56370,0.68,36.47
Russia,2020,Cholera,Respiratory,6.57,8.94,1.42,0-18,Female,556875,91.1,1.94,5.81,Vaccination,34124,Yes,88.49,753,3.04,36599,0.51,48.66
UK,2022,Parkinson's Disease,Respiratory,0.49,11.06,5.64,0-18,Other,189609,74.87,3.7,0.5,Therapy,1806,No,86.32,1979,1.47,14893,0.43,59.73
USA,2017,COVID-19,Respiratory,14.9,7.22,5.03,61+,Female,249093,91.81,3.24,3.03,Medication,41190,No,51.31,2281,1.09,87648,0.88,32.87
South Africa,2021,Dengue,Respiratory,0.24,13.59,5.67,19-35,Female,493698,54.06,4.99,1.81,Medication,18243,Yes,60.31,4354,1.94,87262,0.89,80.44
India,2019,Rabies,Respiratory,19.29,14.24,5.56,36-60,Male,620012,58.28,0.84,7.2,Vaccination,49316,Yes,57.73,380,9.16,97884,0.6,89.79
Argentina,2019,Tuberculosis,Respiratory,16.51,4.38,1.23,19-35,Female,893051,63.28,3.3,7.54,Medication,17762,No,67.47,3894,4.63,29167,0.54,75.95
Italy,2017,Hypertension,Respiratory,17.02,11.17,7,61+,Female,436563,70.14,2.75,2.61,Surgery,1203,Yes,84.25,3064,6.83,12207,0.87,41.93
Germany,2019,Cholera,Respiratory,15.45,3.42,2.06,36-60,Male,692042,83.75,2.87,7.98,Vaccination,15305,No,96.06,4493,6.42,14227,0.64,67.47
Germany,2021,Cancer,Respiratory,11.08,3.9,4.26,36-60,Male,209623,95.79,0.53,1.95,Medication,18576,Yes,83.2,2186,6.06,45385,0.8,72.34
Germany,2023,Influenza,Respiratory,9.81,8.87,6.01,36-60,Male,454007,81.86,0.53,1.84,Vaccination,3556,Yes,78.82,1204,9.46,24152,0.43,55.79
USA,2017,Cholera,Respiratory,11.31,8.23,8.17,19-35,Other,581483,88.78,0.76,2.63,Surgery,30395,No,83.54,4874,8.34,78146,0.72,31.27
Australia,2023,Measles,Respiratory,3.58,0.12,5.3,0-18,Other,309906,56.81,3.69,7.62,Therapy,33757,Yes,64.23,172,7.59,72778,0.5,51.87
Indonesia,2019,COVID-19,Respiratory,4.21,0.29,7.95,36-60,Male,183743,72.88,2.53,3.32,Therapy,30387,No,72.2,3780,0.52,5662,0.44,59.57
Russia,2022,Ebola,Respiratory,5.04,3.23,0.91,0-18,Male,913884,80.12,4.64,7.98,Medication,27324,No,86.93,1541,0.65,8458,0.54,33.42
Russia,2022,Influenza,Respiratory,4,9.24,7.88,19-35,Other,308053,57.75,4.49,6.5,Surgery,18794,No,72.22,3898,3.99,41022,0.61,46.46
Saudi Arabia,2023,Zika,Respiratory,7.1,5.55,4.13,0-18,Female,569280,57.44,3.45,5.97,Vaccination,21911,Yes,86.02,1974,3.55,82222,0.85,38.62
Canada,2023,Tuberculosis,Respiratory,1.38,4.46,3.37,0-18,Male,48173,82.15,4.83,1.44,Vaccination,4582,Yes,72.11,4767,7.62,84134,0.67,35.39
Japan,2019,Diabetes,Respiratory,4.88,6.58,5.18,36-60,Male,218740,89.82,1.8,3.78,Medication,32777,No,82.55,1798,2.66,67763,0.51,85.97
Indonesia,2018,Rabies,Respiratory,18.62,9.47,2.81,19-35,Male,507774,80.95,4.55,4.37,Therapy,28000,No,90.5,1016,5.55,14415,0.8,47.76
Turkey,2021,Alzheimer's Disease,Respiratory,2.06,9.95,4.58,0-18,Male,704243,65.04,2.93,2.32,Vaccination,42225,No,66.68,4626,6.44,86424,0.86,30.03
France,2023,Dengue,Respiratory,17.86,2.41,2.27,0-18,Male,978793,73.76,4.53,6.34,Surgery,14354,No,61.81,576,3.63,28069,0.73,81.99
Germany,2019,HIV/AIDS,Respiratory,2.26,13.05,7.42,61+,Male,911207,87.81,4.19,6.61,Therapy,22177,Yes,94.24,331,7.25,25259,0.63,79.38
Italy,2019,Malaria,Respiratory,3.68,1.16,2.62,0-18,Female,127049,82.41,1.75,7.25,Vaccination,15409,Yes,75.99,3042,5.47,85898,0.62,40.91
South Africa,2020,Polio,Respiratory,10.02,4.08,5.42,19-35,Other,538356,67.53,4.35,6.04,Vaccination,25878,No,75.28,2153,4.57,27201,0.87,49.76
Australia,2021,Polio,Respiratory,8.5,2.28,4.73,19-35,Other,592346,82.07,2.13,5.88,Vaccination,14574,Yes,54.14,4581,5.93,36781,0.85,23.69
Russia,2019,HIV/AIDS,Respiratory,16.1,0.53,3.65,19-35,Other,346808,57.09,2.92,3.05,Vaccination,19395,Yes,98.91,2538,5.24,77245,0.9,57.39
France,2017,Tuberculosis,Respiratory,7.55,2.13,3.75,61+,Other,14473,76.65,3.52,2.87,Medication,23771,No,66.46,3679,0.55,31703,0.41,64.08
Japan,2021,Diabetes,Respiratory,18.69,12.67,1.8,19-35,Female,577550,71.87,2.63,1.9,Vaccination,41079,Yes,60.3,4038,7.11,77335,0.44,59.54
Argentina,2023,Ebola,Respiratory,12.24,3.16,2.22,36-60,Male,566483,68.37,2.61,8.83,Vaccination,8022,No,52.08,2916,1.12,59401,0.7,48.98
South Africa,2018,Malaria,Respiratory,18.4,2.55,9.76,61+,Male,978294,71.46,1.44,2.91,Vaccination,44657,Yes,90.97,2308,4.59,26374,0.73,80.29
India,2018,Polio,Respiratory,15.48,14.5,4.12,36-60,Male,924197,80.23,1.8,2.86,Surgery,2918,No,65.23,4652,1.38,24589,0.89,28.79
South Korea,2021,Cancer,Respiratory,2.83,9.91,8.5,19-35,Male,592176,94.87,4.14,7.82,Therapy,33981,Yes,94.57,2194,7.94,56029,0.63,73.6
Saudi Arabia,2021,Zika,Respiratory,13.22,0.88,5.85,19-35,Female,74971,81.44,2.51,9.87,Vaccination,38098,No,78.1,2030,1.36,38601,0.73,49.52
Argentina,2017,Cholera,Respiratory,13.44,12.12,7.35,0-18,Other,987608,78.13,1.69,9.51,Medication,975,Yes,59.97,1553,6.28,35330,0.71,64.16
Japan,2017,Parkinson's Disease,Respiratory,8.98,13.31,9.14,0-18,Other,626771,93.42,1.19,3.73,Medication,9657,Yes,98.31,1998,0.96,87457,0.82,55.7
Argentina,2017,Influenza,Respiratory,19.88,2.25,4.56,36-60,Male,861362,91.36,4.53,2.33,Vaccination,25163,No,82.44,2664,7.28,96725,0.66,36.86
Nigeria,2020,Asthma,Respiratory,15.45,11.37,0.53,36-60,Female,68071,76.3,3.01,9.66,Surgery,16499,No,98.7,4119,6.92,6485,0.77,24.24
Nigeria,2021,Tuberculosis,Respiratory,8.85,1.01,6.01,19-35,Male,389288,88.04,3.2,4.82,Surgery,18090,No,73.96,2600,5.76,58793,0.69,88.61
South Korea,2022,Dengue,Respiratory,18.31,8.06,4.41,19-35,Female,347814,55.44,2.31,2.23,Surgery,29792,Yes,91.97,171,4.03,38889,0.71,73.18
Australia,2020,Cholera,Respiratory,1.39,0.53,6.78,0-18,Other,822932,62.58,1.02,8.29,Medication,22457,Yes,68.09,3978,2.75,3261,0.72,42.8
Indonesia,2020,Influenza,Respiratory,2.68,0.12,7.62,19-35,Female,273512,70.03,3.55,9.05,Therapy,42510,Yes,71.89,3013,8.52,24985,0.51,50.02
Nigeria,2023,COVID-19,Respiratory,5.59,14.83,9.31,19-35,Other,217125,55.04,3.78,5.8,Vaccination,8869,Yes,89.48,3878,9.5,35206,0.9,31.01
Australia,2020,Polio,Respiratory,0.82,14.9,1.95,19-35,Other,207084,81.88,3.4,1.76,Medication,44797,No,76.69,2652,5.95,18397,0.89,24.36
Russia,2023,COVID-19,Respiratory,5.69,14.57,1.74,36-60,Other,308518,72.04,1.49,2.04,Medication,24807,No,65.95,467,4.66,8526,0.48,53.95
Mexico,2023,Dengue,Respiratory,7.17,6.68,1.7,61+,Female,725682,55.55,3.14,8.04,Medication,23821,Yes,50.53,3972,5.84,57911,0.41,47.22
China,2022,Dengue,Respiratory,8.52,3.93,1.42,61+,Male,29358,52.71,2.29,1.91,Vaccination,1268,No,61.81,2481,3.7,89342,0.71,26.93
Italy,2022,Tuberculosis,Respiratory,5.3,6.91,4.72,19-35,Female,760855,88.14,4.95,1.36,Vaccination,13401,Yes,55.48,4404,6.24,32422,0.55,27.52
Germany,2020,Influenza,Respiratory,3.22,7.23,5.03,19-35,Female,922870,62.01,4.17,9.58,Surgery,36339,Yes,72.74,4433,7.19,46279,0.8,64.86
South Korea,2021,Diabetes,Respiratory,1.12,13.5,4.39,19-35,Male,78419,95.36,3.45,9.11,Surgery,29618,No,53.55,4341,7.15,60238,0.67,46.26
Japan,2020,COVID-19,Respiratory,7.26,10.55,4,61+,Other,201970,55.75,2.29,4.49,Medication,35949,Yes,60.4,1556,7.92,5619,0.8,23.79
USA,2017,Hepatitis,Respiratory,17.83,6.4,3.81,0-18,Other,55701,67.36,1.15,7.81,Surgery,46061,No,68.31,4734,8.98,20058,0.7,58.84
Russia,2017,Leprosy,Respiratory,14.2,2.3,0.61,19-35,Male,97769,69.94,2.97,6.29,Vaccination,48046,No,92.68,22,1.98,97941,0.41,63.82
Mexico,2020,Cancer,Respiratory,4.44,4.98,4.34,61+,Male,62174,79.19,2.96,2.95,Medication,48528,Yes,52.38,467,2.6,51001,0.85,49.78
Mexico,2020,Leprosy,Respiratory,0.65,5.83,4.34,36-60,Other,948941,64.75,0.8,1.58,Vaccination,22010,Yes,84.31,3164,1.57,63940,0.45,69.49
Turkey,2021,COVID-19,Respiratory,5.35,10.52,5.51,19-35,Male,5043,66.19,3.57,9.45,Medication,24711,Yes,94.32,1264,0.8,98211,0.65,87.89
Brazil,2020,Dengue,Respiratory,1.05,1.18,2.44,0-18,Female,122860,54.22,4.16,7.81,Surgery,4993,Yes,68.28,3448,7.07,12757,0.84,77.51
South Korea,2021,HIV/AIDS,Respiratory,11.19,5.17,7.27,0-18,Other,82447,68.73,3.61,3.11,Therapy,23427,Yes,98.03,2346,0.14,82762,0.49,67.59
South Africa,2019,Rabies,Respiratory,7.62,2.77,1.38,0-18,Male,734353,75.26,0.55,7.25,Therapy,19702,Yes,94.68,1675,0.22,95501,0.63,84.58
Nigeria,2021,Hepatitis,Respiratory,17.99,1.63,7.73,19-35,Male,521550,56.21,2.1,8.99,Medication,35029,Yes,65.8,1404,2.44,35854,0.64,69.05
Australia,2019,Leprosy,Respiratory,12.08,12.56,9.52,0-18,Female,297866,77.44,1.74,5.9,Vaccination,15062,No,87.36,1227,5.62,89231,0.69,74.84
Canada,2023,Asthma,Respiratory,8.73,5.22,3.47,19-35,Male,223664,59.18,0.59,4.32,Therapy,45993,No,55.93,3636,5,99967,0.43,76.46
UK,2022,Influenza,Respiratory,2.09,9.61,9.57,19-35,Other,155123,61.77,0.73,1.39,Medication,45799,Yes,72.41,4267,7.4,91158,0.68,60.57
UK,2019,HIV/AIDS,Respiratory,6.57,7.46,5.33,0-18,Male,797714,65.16,2.04,6.59,Surgery,29394,No,59.54,3115,0.01,26188,0.58,24.23
USA,2021,Tuberculosis,Respiratory,18.09,3.88,9.79,36-60,Other,668120,97.02,0.62,9.5,Vaccination,2247,No,67.4,2018,4.89,18271,0.84,30.13
Russia,2023,Hepatitis,Respiratory,13.95,2.72,4.05,61+,Other,904681,59.64,0.89,2.92,Medication,41108,Yes,51.71,4520,8.99,17463,0.75,50.68
South Korea,2020,Tuberculosis,Respiratory,17.25,9.59,4.58,36-60,Female,826668,61.98,3.04,9.98,Surgery,43560,Yes,97.32,3714,0.98,83966,0.84,57.5
Australia,2021,Measles,Respiratory,6.07,12.64,0.39,19-35,Female,894482,80.23,1.95,9.98,Therapy,43084,No,94.95,833,8.14,44150,0.69,47
Russia,2021,Influenza,Respiratory,16.4,13.73,3.65,36-60,Female,251811,50.85,1.65,6.61,Therapy,23653,No,53.2,3022,8.6,46014,0.67,37.4
USA,2019,COVID-19,Respiratory,5.34,9.58,7.29,0-18,Female,129178,50.26,2.98,4.94,Vaccination,40876,Yes,62.6,4309,3.72,49469,0.74,88.41
Russia,2017,Hepatitis,Respiratory,7.24,2.16,8.41,0-18,Male,282418,97.08,4.89,6.81,Surgery,26019,Yes,67.35,349,1.13,10825,0.77,57.25
UK,2017,Diabetes,Respiratory,17.54,8.92,9.93,36-60,Male,355560,93.18,4.93,2.68,Surgery,40198,No,80.82,3512,6.37,32920,0.49,50.95
USA,2023,Zika,Respiratory,14.55,10.55,1.61,61+,Male,502977,56.13,2.22,6.61,Therapy,19127,No,59.54,4804,8.8,65962,0.76,20.41
South Korea,2022,Polio,Respiratory,8.36,10.13,7.84,61+,Male,167605,69.21,3.12,7.16,Vaccination,31246,Yes,57.69,3081,0.86,21304,0.78,77.63
Italy,2022,Ebola,Respiratory,16.39,2.38,2.79,19-35,Other,734558,54.54,4.37,4.3,Vaccination,3137,Yes,82.47,3138,4.49,72253,0.86,49.54
Australia,2020,Malaria,Respiratory,1.81,6.78,0.22,0-18,Other,913960,94.66,4.4,0.87,Medication,11942,No,79.63,4773,6.64,57634,0.4,22.17
France,2022,Parkinson's Disease,Respiratory,7.41,4.89,8.63,61+,Male,988037,80.36,2.44,1,Medication,40457,No,56.91,3089,3.33,46798,0.75,39.43
Mexico,2023,Asthma,Respiratory,1.97,7.23,9.54,36-60,Female,669584,71.68,1.72,2.18,Medication,34480,Yes,79.21,3569,1.3,68803,0.68,33.45
South Korea,2017,Measles,Respiratory,3.36,0.39,3.36,0-18,Female,407931,96.7,0.51,8.27,Surgery,9890,No,79.86,4226,1.3,84389,0.69,72.04
Brazil,2021,Polio,Respiratory,5.69,2.18,4.26,36-60,Other,196969,79.62,2.88,8.24,Surgery,32700,Yes,81.39,1308,9.48,99841,0.73,68.72
USA,2020,Dengue,Respiratory,3.5,12.7,9.55,61+,Female,182346,55.2,3.41,6.05,Medication,24539,Yes,69.17,2583,4.38,20061,0.67,29.2
Argentina,2017,Cholera,Respiratory,9.44,1.88,9.54,0-18,Male,734375,73.29,2.16,7.62,Therapy,3423,No,54.49,199,7.47,44836,0.85,21.73
Argentina,2023,Leprosy,Respiratory,12.44,6.96,1.62,61+,Female,926972,82.82,1.47,2.8,Medication,820,Yes,55.13,2055,3.1,6341,0.6,46.21
Argentina,2023,Dengue,Respiratory,2.4,1.07,4.06,36-60,Male,297303,92.29,2.88,9.36,Surgery,14474,Yes,56.39,3419,4.84,56397,0.5,78.23
Indonesia,2021,Hypertension,Respiratory,16.81,10.72,1.77,36-60,Other,748318,73.57,1.93,2.66,Medication,48998,Yes,58.89,4161,7.7,49215,0.76,81.22
Italy,2021,Hypertension,Respiratory,10.23,6.57,6.01,19-35,Female,639368,75.48,1.95,1.9,Surgery,16326,Yes,98.5,381,6.45,58817,0.72,51.86
Japan,2018,Asthma,Respiratory,14.51,9.67,2.48,61+,Male,623691,85.51,0.99,9.51,Vaccination,24529,No,68.64,4558,4.64,40236,0.61,38.26
Turkey,2022,Hepatitis,Respiratory,9.08,14,2.33,19-35,Male,359691,66.7,0.7,8.95,Vaccination,37720,Yes,64.67,4791,7.53,64652,0.51,75.63
South Korea,2023,Diabetes,Respiratory,4.18,6.37,2.86,19-35,Other,201110,67.96,4.86,5.97,Surgery,24499,No,80.82,2004,8.48,26890,0.88,33.48
Nigeria,2022,Hypertension,Respiratory,1.32,9.34,9.97,0-18,Female,589816,60.23,2.47,7.63,Therapy,528,Yes,73.94,1169,5.56,73518,0.61,75.18
Japan,2022,Alzheimer's Disease,Respiratory,6.07,14.4,3.09,19-35,Other,925552,82.84,4.27,8.38,Vaccination,39840,No,59.93,4609,7.27,15041,0.63,82.14
Italy,2020,HIV/AIDS,Respiratory,6.57,4.02,8.92,61+,Other,699075,57.22,2.25,0.53,Surgery,25389,Yes,95.58,3727,4.86,75453,0.79,37.94
France,2017,Cholera,Respiratory,2.99,13.2,4.11,36-60,Other,716841,53.83,2.69,4.91,Medication,8410,No,93.64,653,3.97,49125,0.52,31.05
Italy,2018,Zika,Respiratory,13.29,10.43,7.85,36-60,Other,228437,65,0.9,8.23,Medication,6822,Yes,82.37,4642,5.12,75619,0.58,51.96
Canada,2021,Asthma,Respiratory,0.6,4.12,4.03,36-60,Female,436164,85.2,0.74,6.59,Surgery,8875,No,51.05,4168,2.57,22985,0.66,80.29
Russia,2017,Tuberculosis,Respiratory,10.59,5.16,7.16,36-60,Other,810210,88.71,3.07,3.95,Surgery,7801,No,93.71,378,1.19,93326,0.55,62.43
USA,2023,Alzheimer's Disease,Respiratory,8.84,3.69,8.19,0-18,Other,150113,72.11,0.81,5.97,Therapy,1524,Yes,60.86,2036,6.64,6357,0.8,21.36
Australia,2023,Parkinson's Disease,Respiratory,14.74,10.94,3.48,36-60,Other,890615,69.66,2.08,4.54,Therapy,17293,Yes,60.06,3468,2.47,32213,0.63,82.53
South Africa,2022,Ebola,Respiratory,9.71,4.41,1,36-60,Female,351245,53.69,4.96,6.4,Surgery,2648,No,70.92,4515,8.09,58578,0.85,30.18
Argentina,2017,Zika,Respiratory,0.92,14.86,2.5,36-60,Female,485649,75.23,1.18,6.72,Medication,20639,No,52.28,3692,5.87,26165,0.51,83.77
South Korea,2019,Ebola,Respiratory,2.04,8.46,1.49,61+,Male,321098,78.07,4.91,1.69,Vaccination,36698,No,82.18,4894,9.05,26242,0.72,75.41
Saudi Arabia,2017,Parkinson's Disease,Respiratory,18.14,3.85,3.84,61+,Male,391564,73.67,4.75,2.38,Surgery,4741,Yes,81.88,4447,7.07,17076,0.7,30.2
UK,2021,Hepatitis,Respiratory,18.98,14.71,5.65,61+,Other,519256,71.67,3.69,8.8,Surgery,38794,No,62.67,3945,3.11,62045,0.54,80.13
USA,2023,Diabetes,Respiratory,2.45,8.88,8.13,0-18,Male,350973,96.52,4.27,8.19,Vaccination,26840,Yes,94.75,4573,8.63,74749,0.74,76.36
Australia,2022,Polio,Respiratory,15.15,4.89,8.5,19-35,Female,873841,77.03,2.18,8.1,Surgery,44169,Yes,70.12,3774,7.71,73612,0.73,58.94
South Korea,2023,Hypertension,Respiratory,7.54,12.68,5.73,19-35,Other,662497,88.56,1.81,1.27,Therapy,44862,Yes,92.35,986,7.77,68758,0.73,43.46
Australia,2020,Parkinson's Disease,Respiratory,5.58,13.5,1.23,0-18,Female,954085,50.19,4.4,9.49,Vaccination,36669,Yes,94.73,112,8.56,21909,0.77,71.34
Turkey,2021,Cancer,Respiratory,9.65,7.52,8,61+,Other,894874,74.27,2.38,2.87,Surgery,21347,No,82.42,554,7.09,4978,0.56,55.58
France,2020,Measles,Respiratory,9.26,7.64,0.35,19-35,Male,606718,96.39,1.82,8.35,Medication,11330,No,82.59,1049,1.97,77859,0.41,79.37
South Korea,2022,Asthma,Respiratory,18.04,1.68,8.2,61+,Female,534865,96.47,2.4,2.78,Vaccination,49562,No,85.46,1998,9.23,52171,0.79,27.75
Australia,2023,Malaria,Respiratory,3.55,11.05,1.19,0-18,Other,903030,68.93,1.82,3.72,Surgery,48242,Yes,94.22,3995,6.05,51780,0.82,42.24
Mexico,2021,Asthma,Respiratory,18.78,12.96,9.14,0-18,Other,557429,62.58,1.46,6.44,Medication,8533,Yes,58.68,2128,3.93,52068,0.48,40.12
Germany,2022,Cancer,Respiratory,7.87,4.59,3.47,36-60,Other,270892,65.82,2.77,7.17,Surgery,8730,Yes,60.03,4572,8.67,44205,0.85,76.83
France,2020,Parkinson's Disease,Respiratory,12.09,2.29,8.65,19-35,Female,626316,55.46,1.22,9.72,Medication,20439,Yes,75.65,2862,2.95,94398,0.78,53.97
China,2019,Rabies,Respiratory,11.14,0.3,4.92,19-35,Other,743211,86.35,0.98,3.38,Therapy,37245,No,93.7,4286,7.33,68882,0.81,83.54
USA,2018,Hepatitis,Respiratory,7.09,9.01,1.14,61+,Other,850760,83.95,1.61,6.89,Therapy,4577,No,65.53,2161,4.98,88006,0.55,50.52
Nigeria,2017,Zika,Respiratory,18.04,1.78,2.6,0-18,Other,325184,89.31,4.56,5.78,Medication,42341,Yes,84.43,17,2.29,79836,0.5,71.04
UK,2021,Hypertension,Respiratory,8.19,10.2,9.51,61+,Male,794055,70.19,4.3,0.53,Surgery,25500,Yes,67.43,2366,2.98,40578,0.82,40.26
Russia,2023,Polio,Respiratory,19.5,6.77,8.36,36-60,Other,198978,85.82,3.59,3.03,Vaccination,6602,No,52.44,98,9.37,18655,0.84,28.72
Japan,2021,HIV/AIDS,Respiratory,14.21,2.38,6.44,19-35,Female,14122,96.56,3.43,4.25,Surgery,43424,No,96.09,3270,9.65,97420,0.6,57.13
Australia,2020,Malaria,Respiratory,9.67,9.68,8.58,19-35,Female,201457,75.46,0.71,6.84,Therapy,22184,Yes,66.92,1270,1.7,36572,0.58,41.01
Italy,2017,Parkinson's Disease,Respiratory,13.11,4.35,5.13,19-35,Female,974532,53.65,0.65,8.66,Therapy,13429,No,51.2,2607,8.69,49481,0.63,58.2
Turkey,2021,Alzheimer's Disease,Respiratory,7.83,2.98,7.33,36-60,Other,602042,55.95,1.3,3.22,Vaccination,12781,Yes,58.28,699,8.75,49595,0.48,74.11
